NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY,LAT,LON
Hamburg Area HS,Price Battery,0.33854293836884725,19526,PA,Hamburg,42011,40.551164,-75.974128
LAKE ACADEMY SECURE,Reeves Southeastern Galvanizing Corp.,0.3399991330381025,33619,FL,TAMPA,12057,27.967552,-82.342244
LAKE ACADEMY,Reeves Southeastern Galvanizing Corp.,0.3399991330381025,33619,FL,TAMPA,12057,27.967552,-82.342244
ESCAMBIA VIRTUAL ACADEMY FRANCHISE,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033,30.447045,-87.222532
ESCAMBIA VIRTUAL INSTRUCTIONAL PROGRAM (DISTRICT PROVIDED),Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033,30.447045,-87.222532
TAP PK BABIES,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033,30.447045,-87.222532
ESCAMBIA VIRTUAL INSTRUCTION PROGRAM,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033,30.447045,-87.222532
ESCAMBIA SCH. DIST. JAIL PROG.,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033,30.447045,-87.222532
COUNTY ADMINISTRATIVE ANNEX,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033,30.447045,-87.222532
HOSPITAL & HOMEBOUND,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033,30.447045,-87.222532
Slidell Junior High School,Bayou Bonfouca,0.3411731242644523,70458,LA,Slidell,22103,30.28013,-89.77898
MIAMI EDISON SENIOR HIGH SCHOOL,Continental Cleaners,0.3412652667795749,33127,FL,MIAMI,12086,25.831762,-80.204753
West Deptford High School,"Matteo & Sons, Inc.",0.3423183234225304,8093,NJ,WEST DEPTFORD,34015,39.855246,-75.161846
Cardinal O'Connell Early Learning Center,Silresim Chemical Corp.,0.34331599244997524,1852,MA,Lowell,25017,42.629842,-71.307239
PS 110 MONITOR (THE),Meeker Avenue Plume,0.34374241035200603,11222,NY,BROOKLYN,36047,40.7237,-73.9421
MURRAY MIDDLE SCHOOL,Solitron Microwave,0.34380817906158767,34997,FL,STUART,12085,27.134786,-80.194022
Haven Drive Middle,"Brown & Bryant, Inc. (Arvin Plant)",0.3454834062499185,93203,CA,Arvin,6029,35.205198,-118.82756
West Essex High School,Unimatic Manufacturing Corporation,0.3467660669314575,7006,NJ,NORTH CALDWELL,34013,40.873815,-74.269493
YES PREP - NORTHSIDE,North Cavalcade Street,0.34845084995431325,77026,TX,HOUSTON,48201,29.807559,-95.343455
James Madison School #10,Garfield Ground Water Contamination,0.34880411499180686,7026,NJ,GARFIELD,34003,40.867223,-74.103874
Career Pathways,Koppers Coke,0.3489610085613067,55104,MN,SAINT PAUL,27123,44.96834,-93.157341
International Studies Lrng Center at Legacy High Sch Complex,Southern Avenue Industrial Area,0.3492547074537339,90280,CA,South Gate,6037,33.941394,-118.178813
Sci Tech Engr Arts and Math at Legacy High Sch Complex,Southern Avenue Industrial Area,0.3492547074537339,90280,CA,South Gate,6037,33.941394,-118.178813
Visual and Performing Arts at Legacy High School Complex,Southern Avenue Industrial Area,0.3492547074537339,90280,CA,South Gate,6037,33.941394,-118.178813
Greystone School,Centredale Manor Restoration Project,0.35109099927120796,2911,RI,North Providence,44007,41.861687,-71.483101
SUPERIOR ILEANA DE GRACIA,Vega Alta Public Supply Wells,0.3512427016567083,692,PR,VEGA ALTA,72143,18.419664,-66.335194
Crittenden Middle,"CTS Printex, Inc.",0.35139732794994527,94043,CA,Mountain View,6085,37.411647,-122.085432
SCHOFIELD ELEMENTARY,"Solid State Circuits, Inc.",0.3525719687305832,65738,MO,REPUBLIC,29077,37.122475,-93.477122
Jackson El Sch,Whitmoyer Laboratories,0.35273556724118305,17067,PA,Myerstown,42075,40.3682,-76.3299
