NAME,Site_Name,distance_to_site_miles
Lincoln International Studies School,"Allied Paper, Inc./Portage Creek/Kalamazoo River",0.4061306877844628
ALCOTT ELEMENTARY SCHOOL,Hastings Ground Water Contamination,0.40677872360859924
COLUMBIA HEIGHTS EL,R & H Oil Company,0.4068927596003399
Dr. Charles P. DeFuccio School,PJP Landfill,0.4069003991327467
George Washington Elementary,McCormick & Baxter Creosoting Co.,0.4077413177856737
Pennsauken High School,Swope Oil & Chemical Co.,0.4088561523977525
BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES (THE),Gowanus Canal,0.41138631587951896
DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,Gowanus Canal,0.41138631587951896
SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL,Gowanus Canal,0.41138631587951896
PERRYTON KINDER,City of Perryton Well No. 2,0.41171363131344146
Tindley Genesis Academy,Keystone Corridor Ground Water Contamination,0.4119910078456809
NORFOLK JR HIGH SCHOOL,Iowa-Nebraska Light & Power Co,0.4120259207161947
Evergreen Elementary,Omega Chemical Corporation,0.41388921022504854
Lincoln Park Elementary School,Kaydon Corp.,0.41683072110971925
Pioneer Elem School,Kerr-McGee (Residential Areas),0.4180628031033196
Edgar Middle School,Chemical Insecticide Corp.,0.41839371010094184
Alliance Leichtman-Levine FAM Foundation Env Sci High,San Fernando Valley (Area 4),0.41856078968582344
Troy High School,West Troy Contaminated Aquifer,0.4186842703042991
CASS LAKE-BENA ELEMENTARY,St. Regis Paper Co.,0.4196431599309787
TULOSO-MIDWAY ACADEMIC CAREER CENTER,Brine Service Company,0.4198944686574295
Brandywine Elementary,Brandywine DRMO,0.42106335736734685
SOUTH HOUSTON EL,Geneva Industries/Fuhrmann Energy,0.42144781949965604
Jack Benny Middle School,Yeoman Creek Landfill,0.4227719059642549
MAGNOLIA MONTESSORI ACADEMY,Landia Chemical Company,0.4233470318037104
P A S S LEARNING CTR,RSR Corp.,0.42347028125398284
P A S S LEARNING CTR,RSR Corp.,0.42347028125398284
P A S S LEARNING CTR,RSR Corp.,0.42347028125398284
DALLAS CO SCHOOL FOR ACCELERATED LRNG,RSR Corp.,0.42347028125398284
JUVENILE JUSTICE AEP,RSR Corp.,0.42347028125398284
DALLAS COUNTY JJAEP DESOTO CAMPUS,RSR Corp.,0.42347028125398284
P A S S LEARNING CTR,RSR Corp.,0.42347028125398284
DALLAS COUNTY JJAEP CFB CAMPUS,RSR Corp.,0.42347028125398284
DALLAS COUNTY JJAEP,RSR Corp.,0.42347028125398284
PASS LEARNING CTR,RSR Corp.,0.42347028125398284
DRC CAMPUS,RSR Corp.,0.42347028125398284
P A S S LEARNING CTR,RSR Corp.,0.42347028125398284
DALLAS COUNTY JJAEP,RSR Corp.,0.42347028125398284
Roosevelt Elementary School,"Cornell Dubilier Electronics, Inc.",0.42492630764790884
Franklin School,"Curcio Scrap Metal, Inc.",0.42621899147400394
Cheraw High,Burlington Industries Cheraw,0.4274074158631008
Westville Elementary School,Cam-Or Inc.,0.42752056538908284
Westville High School,Cam-Or Inc.,0.42752056538908284
Byram Lakes Elementary School,Mansfield Trail Dump,0.42779068457023783
VOA High,General Mills/Henkel Corp.,0.42794203272626297
VOA High Extended,General Mills/Henkel Corp.,0.42794203272626297
Harriman Middle School,Clinch River Corporation,0.4284088778595479
Argonaut High,Argonaut Mine,0.42856505030754655
